id;ID_Segment;Lenght;distance;angle;Nom;Lat;Long;Rayon
6;T6;;10.000000000000000;19.334808537869154;Matexi Beton-Lemaire;50.6625168800;4.5691596720;50
7;T7;;0.000000000000000;199.045034091057204;Matexi Beton-Lemaire;50.6624298200;4.5691124720;50
7;T7;;10.000000000000000;199.045034091057204;Matexi Beton-Lemaire;50.6623449200;4.5690659580;50
8;T8;;0.000000000000000;20.449547610823721;Matexi Beton-Lemaire;50.6623322500;4.5695257050;50
8;T8;;10.000000000000000;20.449547610823721;Matexi Beton-Lemaire;50.6624163900;4.5695754800;50
9;T9;;0.000000000000000;198.435712920792469;Matexi Beton-Lemaire;50.6623322500;4.5695257050;50
9;T9;;10.000000000000000;198.435712920792469;Matexi Beton-Lemaire;50.6622470400;4.5694806120;50
9;T9;;0.000000000000000;17.818888914599647;Matexi Beton-Lemaire;50.6625971600;4.5718241240;50
9;T9;;10.000000000000000;289.653824058058433;Matexi Beton-Lemaire;50.6626804100;4.5718605160;50
9;T9;;20.000000000000000;289.653824058058433;Matexi Beton-Lemaire;50.6627108800;4.5717274470;50
9;T9;;30.000000000000000;289.653824058058433;Matexi Beton-Lemaire;50.6627413500;4.5715943790;50
9;T9;;40.000000000000000;289.653824058058433;Matexi Beton-Lemaire;50.6627718200;4.5714613100;50
9;T9;;50.000000000000000;289.653824058058433;Matexi Beton-Lemaire;50.6628022900;4.5713282400;50
10;;;0.000000000000000;109.536654938185109;Matexi Beton-Lemaire;50.6618958300;4.5705944370;50
10;;;10.000000000000000;109.536654938185109;Matexi Beton-Lemaire;50.6618655400;4.5707276020;50
11;;;0.000000000000000;107.878696595860617;Matexi Beton-Lemaire;50.6622881700;4.5708451440;50
11;;;10.000000000000000;107.878696595860617;Matexi Beton-Lemaire;50.6622603300;4.5709796330;50
12;;;0.000000000000000;112.109448343768818;Matexi Beton-Lemaire;50.6627302400;4.5711467960;50
12;;;10.000000000000000;112.109448343768818;Matexi Beton-Lemaire;50.6626961800;4.5712776890;50
12;;;0.000000000000000;107.818888914434098;Matexi Beton-Lemaire;50.6619633000;4.5722456460;50
13;;;0.000000000000000;106.260204708385601;Matexi Beton-Lemaire;50.6620099100;4.5724118620;50
13;;;0.000000000000000;137.602562202526173;Matexi Beton-Lemaire;50.6615155500;4.5718425110;50
13;;;10.000000000000000;137.602562202526173;Matexi Beton-Lemaire;50.6614489900;4.5719375900;50
14;;;0.000000000000000;137.121096396586722;Matexi Beton-Lemaire;50.6611852200;4.5713338280;50
14;;;10.000000000000000;137.121096396586722;Matexi Beton-Lemaire;50.6611191700;4.5714297840;50
15;;;0.000000000000000;109.440034828184068;Matexi Beton-Lemaire;50.6616235400;4.5704180330;50
15;;;10.000000000000000;109.440034828184068;Matexi Beton-Lemaire;50.6615933900;4.5705512770;50
1;T1;204;0.000000000000000;221.889436173182446;Matexi Sainte-Anne;50.7227761500;4.6001260460;50
1;T1;204;10.000000000000000;221.889436173182446;Matexi Sainte-Anne;50.7227094200;4.6000311580;50
1;T1;204;20.000000000000000;221.889436173182446;Matexi Sainte-Anne;50.7226426800;4.5999362710;50
1;T1;204;30.000000000000000;221.889436173182446;Matexi Sainte-Anne;50.7225759500;4.5998413830;50
1;T1;204;40.000000000000000;221.889436173182446;Matexi Sainte-Anne;50.7225092100;4.5997464960;50
1;T1;204;50.000000000000000;221.889436173182446;Matexi Sainte-Anne;50.7224424800;4.5996516090;50
1;T1;204;60.000000000000000;221.889436173182446;Matexi Sainte-Anne;50.7223757400;4.5995567230;50
1;T1;204;70.000000000000000;221.889436173182446;Matexi Sainte-Anne;50.7223090000;4.5994618360;50
1;T1;204;80.000000000000000;221.889436173182446;Matexi Sainte-Anne;50.7222422700;4.5993669500;50
1;T1;204;90.000000000000000;221.889436173182446;Matexi Sainte-Anne;50.7221755300;4.5992720650;50
1;T1;204;100.000000000000000;221.889436173182446;Matexi Sainte-Anne;50.7221088000;4.5991771790;50
1;T1;204;110.000000000000000;221.889436173182446;Matexi Sainte-Anne;50.7220420600;4.5990822940;50
1;T1;204;120.000000000000000;259.380344723806672;Matexi Sainte-Anne;50.7219863000;4.5989777520;50
